padron,bajado,terreno,mejoras,ph,total,valuacion
77448,true,45040.26,0.0,0.0,45040.26,10700.0
80014,true,275344.08,623679.37,0.0,899023.45,483345.93
80029,true,35696.75,55332.55,0.0,91029.29,48940.47
80031,true,122499.23,11944.35,0.0,134443.59,59144.93
80036,true,189034.84,612295.35,0.0,801330.19,430822.67
80044,true,10624.57,99491.28,0.0,110115.85,59202.07
80068,true,0.0,0.0,0.0,0.0,
80075,true,0.0,0.0,0.0,0.0,
80076,true,0.0,0.0,0.0,0.0,
80090,true,0.0,0.0,0.0,0.0,
80092,true,211310.32,339089.93,0.0,550400.25,295914.11
80139,true,461240.39,51323.73,0.0,512564.12,275572.1
80144,true,96293.99,138582.69,0.0,234876.68,126277.78
80179,true,134385.8,569166.15,0.0,703551.95,378253.72
80185,true,32718.84,57671.94,0.0,90390.78,48597.19
80186,true,96588.82,669264.93,0.0,765853.75,411749.32
80188,true,342334.76,387440.65,0.0,729775.42,271211.75
80207,true,65536.0,218866.33,0.0,284402.33,152904.46
80215,true,0.0,0.0,0.0,0.0,
80242,true,114097.0,347213.4,0.0,461310.4,248016.33
80243,true,465149.92,2248.35,0.0,467398.27,162400.0
80248,true,780723.38,940559.86,0.0,1721283.24,925421.09
80253,true,412742.6,0.0,0.0,412742.6,221904.62
80261,true,137112.69,173493.37,0.0,310606.05,166992.5
80270,true,111017.2,0.0,0.0,111017.2,33500.0
80276,true,358899.56,375246.65,0.0,734146.21,394702.25
80336,true,158041.85,133499.97,0.0,291541.82,156742.9
80343,true,86094.65,99756.88,0.0,185851.53,52800.0
80348,true,40483.83,37787.58,0.0,78271.41,42081.39
80349,true,38248.55,67059.81,0.0,105308.37,56617.39
80361,true,32955.34,98860.73,0.0,131816.07,70868.85
80366,true,161038.25,227107.37,0.0,388145.63,208680.44
80408,true,458537.86,20277.35,0.0,478815.21,257427.53
80415,true,328717.9,244103.6,0.0,572821.5,307968.54
80417,true,1208429.0,262910.58,0.0,1471339.59,791042.77
80422,true,236974.61,135993.28,0.0,372967.89,200520.35
80426,true,658072.13,1201924.24,0.0,1859996.38,999998.04
80446,true,159420.01,159261.58,0.0,318681.59,16800.0
80452,true,319234.92,877910.68,0.0,1197145.6,42900.0
80487,true,0.0,0.0,0.0,0.0,
80491,true,0.0,0.0,0.0,0.0,
80500,true,31180.86,115024.09,0.0,146204.95,78604.801
80504,true,193469.69,151164.75,0.0,344634.44,185287.32
80512,true,149430.47,415834.84,0.0,565265.3,303906.05
80513,true,70139.27,166221.03,0.0,236360.3,127075.43
80514,true,0.0,0.0,0.0,0.0,
80522,true,134903.03,190893.63,0.0,325796.66,175159.49
80531,true,338940.35,1105226.0,0.0,1444166.34,776433.51
80533,true,73873.68,555802.04,0.0,629675.71,338535.33
80544,true,0.0,0.0,0.0,0.0,
80554,true,0.0,0.0,0.0,0.0,
80560,true,36876.58,85156.26,0.0,122032.83,65609.04
80563,true,200635.17,0.0,0.0,200635.17,107868.37
80570,true,77143.92,0.0,0.0,77143.92,41475.22
80571,true,0.0,0.0,0.0,0.0,
80578,true,36323.39,12675.13,0.0,48998.52,26343.28
80583,true,0.0,0.0,0.0,0.0,
80585,true,1104223.58,0.0,0.0,1104223.58,593668.59
80586,true,319360.35,0.0,0.0,319360.35,171699.11
80587,true,33231.04,142778.39,0.0,176009.43,94628.71
80593,true,36876.58,198398.32,0.0,235274.89,126491.87
80603,true,183624.43,4530124.53,0.0,4713748.96,76361.26
80614,true,24799.21,35013.74,0.0,59812.95,32157.48
80632,true,38976.09,156261.56,0.0,195237.65,104966.47
80633,true,36481.6,178600.48,0.0,215082.08,115635.51
80636,true,60823.51,339230.01,0.0,400053.52,215082.53
80637,true,46771.32,116330.93,0.0,163102.25,87689.36
80638,true,31180.86,181635.65,0.0,212816.51,114417.48
80639,true,41886.33,31617.46,0.0,73503.78,39518.16
80640,true,46095.74,24790.24,0.0,70885.98,38110.74
80641,true,49710.54,225124.16,0.0,274834.7,147760.59
80642,true,30661.2,55634.25,0.0,86295.45,46395.37
80644,true,31180.86,104809.62,0.0,135990.48,73113.16
80651,true,31180.86,19604.22,0.0,50785.09,27303.81
80652,true,24799.21,68073.46,0.0,92872.67,49931.52
80658,true,37527.69,0.0,0.0,37527.69,20133.46
80659,true,26732.4,66651.94,0.0,93384.34,50206.62
80660,true,26716.34,102335.71,0.0,129052.05,14372.25
80662,true,26642.85,152622.3,0.0,179265.15,14372.25
80666,true,24528.89,32344.13,0.0,56873.02,30576.88
80667,true,24233.84,43597.82,0.0,67831.66,36468.62
80668,true,24113.15,50725.37,0.0,74838.52,40235.76
80670,true,31648.57,30639.5,0.0,62288.07,33488.2
80671,true,36876.58,28706.04,0.0,65582.62,35259.47
80673,true,41886.33,141982.79,0.0,183869.11,98854.36
80674,true,26638.87,94167.81,0.0,120806.68,64949.82
80675,true,31648.57,149148.42,0.0,180796.98,97202.67
80676,true,33275.2,123392.25,0.0,156667.45,84229.8
80678,true,33883.19,145290.33,0.0,179173.52,96329.85
80683,true,105552.48,352850.47,0.0,458402.95,56748.66
80687,true,0.0,0.0,0.0,0.0,
80689,true,36876.58,111511.76,0.0,148388.34,79778.67
80690,true,36502.39,143068.05,0.0,179570.44,96543.24
80691,true,31180.86,30043.54,0.0,61224.4,32916.34
80692,true,31180.86,39992.5,0.0,71173.36,38265.24
80694,true,23697.43,54213.29,0.0,77910.72,41887.47
80695,true,24799.21,36535.66,0.0,61334.87,32975.72
80696,true,41886.33,359704.82,0.0,401591.15,215909.2
80697,true,41678.39,147837.26,0.0,189515.65,101890.13
80698,true,52124.08,453992.25,0.0,506116.34,272105.54
80699,true,42509.93,120418.34,0.0,162928.27,87595.85
80700,true,41678.39,109012.82,0.0,150691.21,81016.78
