padron;valuacion_total;valuacion
135816;287019.08;5500.0
135825;417968.48;6900.0
176062;88785.03;6500.0
180474;266365.56;6500.0
180974;773645.06;1.007
181014;43507996.29;1700.0
182723;757996.89;1.0
182786;189445.06;14600.0
183120;26004.85;1900.0
183122;152375.22;2100.0
183346;718969.3;11900.0
183888;258276.3;1.0
183995;250190.29;2100.0
184086;526400.59;8700.0
184205;78575.79;3600.005
184473;211600.47;4400.0
184490;96680.94;1400.0
184495;62729.83;1300.0
184499;137135.22;2000.0
184576;181445.21;2600.0
184648;180960.47;2800.0
184776;82256.68;5200.0
184778;677046.46;5200.0
184874;376650.65;23400.0
278202;175462.43;1900.0
279276;153296.4;1.0
279279;100473.84;6300.0
280470;101514.39;1.0
280577;34057.87;1100.0
280771;928139.2;52906.44
281216;197695.74;2400.005
281236;224690.53;700.0
281441;311429.82;1.0
281847;74424.0;1.007
282063;146323.19;2400.0
282197;1788371.97;102800.0
282198;2508020.14;900.0
282199;186321.95;1000.0
282245;435375.47;16300.0
282285;114894.73;1.0
282305;90813.63;3400.0
282329;131544.01;3200.0
282428;446513.78;8400.0
282452;139004.19;12400.0
282604;26173576.38;5300.008
282678;128366.53;8400.0
282679;310203.51;3600.0
282786;221865.2;8400.0
283135;86924.09;6900.0
283324;203466.93;8400.0
283354;249365.34;1.0
283357;434780.95;18975.6
283560;381790.42;8400.0
283638;89529.96;4500.0
283645;322663.56;1.0
283747;260938.65;16600.0
283943;4529784.26;299319.12
283944;3057415.52;147249.96
283950;298899.43;1.0
284069;250757.78;3800.0
284903;224399.76;3900.0
285285;71094.09;1.0
378327;86208.63;2800.0
380139;221734.35;1300.0
380142;99777.08;9100.0
380397;227086.73;5200.0
380401;348404.02;5300.0
380693;27024.79;1.0
380772;140198.28;2200.0
380808;182194.66;9100.00005
380845;51487.61;4900.0
380846;98089.1;4900.0
380904;132470.67;6800.0
381005;103057.7;10300.0
381007;122489.04;8200.0
381036;507206.27;22018.11
381363;708134.33;4400.0
381448;152941.18;1.0
381488;35294.63;1000.0
381494;255316.83;8400.0
381782;192333.7;6800.0
381869;35685.88;2300.0
381871;35294.63;2300.0
381933;583595.37;29204.12
382077;173520.48;4300.0
382111;230907.33;900.0
382297;194974.49;3800.0
382496;617893.04;50518.03
382828;38731.96;2000.0
382835;98383.9;4100.0
382942;175359.44;5300.0
383315;47309.7;600.0
383320;230244.59;900.0
383401;1003302.45;71200.0
383762;161572.74;14100.0
383766;700456.45;57500.0
383783;530454.88;41700.0
383786;383030.8;24400.0
383790;399463.52;24700.0
383800;399881.57;20400.0
383801;817129.22;26100.0
383803;613395.6;4700.0
383806;295260.74;7300.0
383898;1169027.38;58200.0
383902;671592.42;51500.0
383927;114160.74;2000.0
383945;573014.0;5200.0
383975;167556.02;12600.0
383984;407931.55;32100.0
384144;474497.18;33200.0
384145;438564.17;40900.0
384150;535755.46;31800.0
384175;594248.83;54664.29
384309;214441.43;1.0
384336;444226.83;1500.0
384444;192732.73;1.0
384594;817495.72;73738.35
384883;99713.62;4300.0
4675134;19011106.02;273813.14
4675189;264550.34;14100.0
4675769;1663767.8;99954.38
4675780;775557.77;66875.42
4675799;807847.9;68013.13
4675800;835561.97;71191.68
4675810;401137.42;12500.0
4675815;908057.24;86422.98
4675829;705776.56;69024.13
4675836;714037.92;68291.97
4675839;921724.95;72823.94
4675845;800303.7;77691.64
4675847;754579.28;71117.94
4675848;704283.68;68968.81
4675856;793441.05;76576.68
4675882;770319.39;71405.85
4675903;8577350.84;654189.64
4675918;252690.25;15106.25
4675919;259981.95;15106.25
4675920;313260.12;15106.25
4675924;235568.84;15106.25
4675926;441651.14;14653.96
4675928;256718.81;15106.25
4675929;388654.41;15106.25
4675931;358440.16;15106.25
4675935;229350.69;15106.25
4675936;298511.57;15106.25
4675937;350994.48;15106.25
4675951;311104.49;15106.25
4675954;252690.25;15106.25
4675956;188132.45;15106.25
4675957;160517.32;15106.25
4675960;336283.03;15106.25
4675961;295202.24;15106.25
4675962;334393.24;15106.25
4675967;390668.7;15106.25
4675968;410811.54;15106.25
4675970;231540.28;15106.25
4675971;382611.57;15106.25
4675973;463076.9;15106.25
4675975;254086.11;15106.25
4675976;551811.42;15106.25
4675977;198818.87;15106.25
4675978;344340.17;15106.25
4675979;204606.03;15106.25
4675980;235063.35;14653.96
4675981;410811.54;15106.25
4675982;298474.96;15106.25
4675984;490496.62;15106.25
4675987;405540.67;15106.25
4675990;511525.73;15106.25
4675991;342325.68;15106.25
4675996;423904.38;15106.25
4675997;185884.42;14653.96
4675999;236575.98;15106.25
4676000;288705.66;15106.25
4676001;228317.45;15106.25
4676010;209495.45;15106.25
4676011;308445.63;15106.257
4676012;263768.83;15106.25
4676015;319360.52;20086.4
4676024;374254.05;15106.25
4676026;333261.6;15106.25
4676029;348870.74;15106.255
4676031;183197.46;15106.25
4676032;28097.37;2300.0
4676033;28097.37;2300.0
4676034;320168.76;15106.25
4676037;186218.88;15106.25
4676041;183627.55;15106.25
4676043;346520.39;14653.96
4676045;318154.48;15106.25
4676046;306969.91;15106.25
4676047;350400.69;15106.25
4676052;424169.42;15106.25
4676053;159932.47;15106.25
4676058;385225.05;15106.25
4676059;347545.2;14653.96
4676061;318931.93;15106.25
4676063;350383.03;15106.25
4676064;237583.12;15106.25
4676067;387363.52;15106.25
4676071;333427.56;14653.96
4676075;388654.41;15106.25
4676076;240604.54;15106.25
4676081;439912.79;15106.338
4676087;165934.89;15106.17
4676088;467229.05;15106.17
4676089;210390.18;15106.17
4676092;353421.9;15106.12
4676093;286438.14;15106.12
4676094;228518.63;15106.12
4676098;281897.15;15106.12
4676100;250842.32;14654.2
4676101;300026.08;15106.33
4676102;315133.22;15106.33
4676103;387647.43;15106.33
4676104;462175.94;15106.33
4676108;281439.22;21357.605
4676112;339304.46;15106.25
4676113;282904.52;15106.25
4676114;365490.16;15106.25
4676115;436156.04;14653.96
4676125;327218.76;15106.25
4676128;327843.21;15106.25
4676130;274847.38;15106.25
4676131;499527.23;15106.25
4676138;600613.63;15106.25
4676139;310097.35;15106.25
4676140;390668.7;15106.255
4676145;312917.35;15106.25
4676148;435148.88;14653.96
4676149;159755.68;15106.25
4676151;345175.81;15106.25
4676152;379878.82;15106.253
4676153;269977.6;14653.96
4676154;363447.8;15106.25
4676155;398055.97;15106.25
4676156;267005.38;15106.25
4676157;374532.6;15106.25
4676161;360215.38;15106.25
4676162;288935.93;15106.25
4676163;447068.65;15106.255
4676174;469225.78;15106.25
4676177;304054.49;15106.25
4676178;361920.99;15106.25
4676179;316140.19;15106.25
4676182;287941.67;15097.51
4676183;248289.68;15106.25
4676184;156861.89;15106.25
4676185;255605.66;15106.25
4676190;243316.31;15106.2542
4676191;212404.57;15106.25973
4676192;395917.47;15106.25
4676193;156861.89;15106.25
4676194;416872.06;15106.25
4676195;240604.54;15106.25
4676207;298011.65;15106.25
4676208;354926.48;16466.0
4676211;284918.79;15106.25
4676212;231540.28;15106.25
4676214;353422.11;15106.25
4676217;358259.99;15106.25
4676620;18468082.36;167387.61
4676715;4739491.58;109511.53
4676765;801171.26;65900.0
4676766;5780256.56;401200.0
4676809;477306.09;33626.53
4677015;352882.12;18330.76
4677059;687793.07;56500.0
4677060;1968828.96;66249.95
4677437;161326.95;14984.0
4677602;601386.08;56400.0
4677880;8282249.21;505100.0
4677884;392533.83;27244.04
4677885;184827.59;18100.0
4677902;5485002.59;16100.0
4677937;634442.28;21700.0
4677939;629966.35;62864.65
4677963;453617.36;21600.0
4678093;541633.0;15800.0
4678108;617741.63;45100.0
4678141;333229.37;22400.0
4678314;1778148.26;50700.0
4678587;1994817.14;56900.0
4678597;412862.14;34204.35
4678598;466232.61;34159.95
4679427;295882.05;8.0
4679553;263403.34;9108.0
4679874;191178.94;14400.0
480372;114016.08;1900.0
480689;84474.6;7900.0
480743;196400.86;1.0
480749;582225.65;25123.71
480835;196654.15;11100.0
481298;330627.51;21812.16
481599;232429.52;7700.0
481746;1217060.9;71315.14
481813;1088459.61;2500.0
481832;856048.17;52096.785
481966;470616.03;28823.06
482034;359119.09;14000.0
482133;26503.69;1.0
482243;107141.14;6300.0
482543;83211.67;1800.0
482544;162667.35;11400.0
482683;876485.81;38007.835
482751;585799.48;24200.0
483202;560107.2;29000.0
483434;217467.46;2800.0
