padron;deuda;pagado;superficie;valuacion_yb;valucion_smt
135816;540;0;320;5500;287019
135825;540;0;312;6900;417968
176062;540;0;0;6500;88785
180005;4241;0;0;115520;214868
180014;2305;0;0;96082;178713
180020;4876;4876;2220;151340;281492
180021;4051;0;3537;116511;243568
180068;3506;160;951;194004;360848
180159;696;0;0;16345;30403
180162;8708;0;10737;1612141;2998582
180166;3527;3527;5424;302260;562205
180168;2369;2369;635;158213;294277
180169;1135;1135;933;183694;341672
180170;1586;1586;840;334001;621243
180192;864;0;0;25100;35294
180209;974;427;853;75693;140790
180212;3833;0;2774;332731;618881
180213;3075;1146;1302;499851;929723
180252;4612;0;0;220030;409256
180253;3563;1341;356;320617;596347
180254;3410;0;722;151401;281606
180294;3361;3211;447;173265;322272
180474;864;0;256;6500;266365
180658;3410;3410;789;253293;471125
180659;4821;0;1205;290861;541001
180660;2980;0;665;129232;240371
180664;4302;4302;3558;1158186;2154226
180666;3050;0;0;137068;254946
180667;6862;0;1030;168058;312588
180669;963;963;370;110328;205211
180670;2075;0;252;105685;196574
180673;2944;0;0;144146;268111
180674;1433;0;0;96932;180294
180675;1027;1027;629;118177;219809
180676;3558;3558;1465;317810;591126
180677;1728;1728;0;112487;209227
180678;1686;1686;0;107431;199822
180679;3483;3483;0;285003;530106
180682;5355;0;1245;471925;877781
180712;4976;0;0;345027;641750
180717;5965;1611;1182;678453;1296859
180725;1434;258;940;45540;84705
180729;5381;5381;805;662642;1479536
180786;1821;1821;0;595562;1107746
180788;864;0;0;32400;155282
180869;11513;4107;9669;1161727;2160813
180870;2408;2408;0;164496;305963
180871;864;0;671;47818;88942
180873;1774;414;412;109996;204592
180875;4906;0;720;321110;597265
180877;3133;2893;3253;451917;840565
180887;25045;0;20762;801508;1490806
180889;19362;0;21000;276782;1183410
180892;2082;2082;0;19257;35818
180893;2082;2082;0;18520;34447
180894;2884;0;10391;16834;31311
180895;2082;2082;0;18975;35294
180896;2082;2082;0;18975;35294
180966;3790;0;0;312984;582150
180967;2298;0;0;111152;206743
180968;1695;630;0;98933;184015
180969;35286;0;59311;2033050;3781473
180971;9621;0;30322;1334327;2481848
180972;77711;3379;0;7800024;14508045
180974;540;0;2375542;1;773645
180975;6211;0;0;762757;1418729
180978;4131;3814;3251;181245;337116
181001;11733;0;1103;720910;1340892
181014;540;0;0;1700;43507996
181021;3062;0;273;139993;260388
181022;864;0;0;4639;8629
181237;3682;3682;0;373972;695588
181238;3619;0;0;241467;449129
181240;5350;2912;1586;471248;876522
181241;3490;0;1667;82342;153156
181449;583;25;400;48953;91053
181450;679;348;500;57027;106070
181455;5697;0;572;589070;1095670
181456;4517;2238;9833;624873;1162264
181458;2455;0;578;117866;219231
181460;2342;0;0;101527;188842
181462;2859;0;0;66293;123306
181475;540;0;299;39307;73112
181476;2334;0;399;115489;214809
181969;23121;0;600;376300;236216
182190;540;0;648;13200;119689
182453;4231;0;450;159131;295984
182461;3458;0;400;173071;321912
182473;7270;0;1268;1124752;2092039
182558;540;0;0;16089;29926
182559;540;0;290;16048;29850
182560;540;0;297;17979;33441
182561;540;0;305;17065;31742
182562;540;0;312;17242;32070
182563;625;0;319;28159;52375
182564;540;0;326;17821;33147
182567;619;619;300;43837;81537
182568;903;0;300;40588;75495
182569;1581;1581;400;143780;267431
182723;540;0;1453;1;757996
182746;4762;0;1089;269685;501614
182750;2385;0;0;107004;199028
182751;2171;0;0;76682;142628
182752;1343;0;0;66654;123977
182753;2305;0;0;96033;178622
182754;4278;0;497;123735;230148
182765;2289;0;300;94606;175968
182786;540;0;0;14600;189445
182790;390;150;0;16763;31180
182793;2888;0;0;132251;245987
182887;540;0;0;12008;22335
182908;2678;0;0;52361;97391
182937;4070;1939;583;255934;476037
182946;540;0;0;17800;32382
183031;1319;0;0;62578;116395
183032;540;0;0;41531;77249
183033;515;0;0;22061;41033
183034;2315;0;400;97938;182166
183120;540;0;0;1900;26004
183122;540;0;0;2100;152375
183294;2884;0;0;2289;4259
183297;5168;0;61214;409140;761001
183322;2142;789;267;123369;229467
183346;390;150;0;11900;718969
183414;2792;228;7663;721798;1342545
183425;9538;0;1435;1894431;3523642
183430;6683;0;0;1544333;2872460
183431;1429;0;544;74931;139372
183436;3247;3247;1260;875774;1508229
183455;5708;0;885;593295;1103530
183456;3688;3688;1409;786616;1463105
183457;2554;2554;1337;561898;1045131
183458;4491;0;1624;611252;1136930
183460;4433;0;1939;159189;296091
183462;3752;3752;1304;296409;1177861
183465;3616;3616;997;807908;1502709
183466;1570;1570;953;806065;1499281
183467;3694;1348;1159;271392;504789
183468;2064;1892;1092;301836;561415
183469;3919;372;1100;446829;831103
183470;1423;1423;1100;357305;664589
183471;3431;493;1108;232917;433226
183472;4164;0;1091;474436;882451
183473;4278;0;1100;124732;232002
183474;2900;2900;1100;399456;742989
183475;2323;2323;1100;367834;601999
183478;3238;3238;1138;297202;552796
183479;4295;1593;1318;654114;1216652
183480;5553;0;1302;540051;1004494
183481;3206;3206;880;494496;919763
183482;6431;865;963;838325;1559285
183483;4121;0;1325;454524;845415
183484;3704;0;0;278835;518634
183485;4491;0;1913;703268;1308078
183486;3003;3003;1879;456139;848420
183487;3372;3372;1410;232226;431941
183488;3731;0;1224;288576;536751
183489;2844;2844;1210;365615;680045
183490;3417;1512;1237;477089;887386
183491;3919;0;1265;447332;832039
183492;3103;1155;1369;514641;957233
183495;4719;0;947;257164;478325
183496;864;0;0;6700;1729
183582;540;0;862;8200;35427
183772;5137;0;4394;398084;740436
183773;6377;572;2419;818642;1379304
183774;7868;2920;1533;1450443;2697824
183776;704;0;355;48059;89391
183779;5259;0;3215;440111;818607
183780;2537;2537;0;191253;355732
183781;3656;0;2567;256906;477846
183782;4874;0;3236;308211;573274
183783;2506;2506;3773;173422;322565
183811;3914;1879;693;189950;353308
183812;3200;1717;2832;154299;286996
183815;3507;0;1364;83706;155693
183816;3507;1112;1364;83706;155693
183817;2550;2550;1364;198363;368956
183818;3041;1155;1532;105428;196097
183830;824;440;456;47348;88068
183831;3056;0;1033;137473;255699
183834;4575;2516;1379;207388;385743
183835;1154;0;867;78305;145648
183839;3443;1403;1831;594059;1104951
183840;3541;0;1656;87710;163142
183841;3025;1149;1927;101675;492994
183842;2800;0;1598;61852;115046
183843;2526;2526;1556;184972;344048
183847;3168;3168;18089;1205315;2241887
183848;2814;2814;6032;403269;750080
183849;4180;4180;6032;452090;1347127
183852;24254;0;11136;530546;986816
183861;2537;2537;1362;190518;354364
183888;540;0;415;1;258276
183896;3496;320;305;187843;349389
183910;6146;2848;1599;1065314;1981485
183911;9174;0;1367;1770754;3293603
183912;7035;0;2021;1041661;1937491
183919;4893;0;0;262765;488743
183920;729;729;510;66217;123164
183946;5329;1449;15268;461394;858194
183953;6316;0;811;586782;1091415
183954;2961;597;964;146727;272913
183955;1933;1933;859;189752;352939
183956;3896;1239;850;359595;668847
183957;3554;487;648;213737;397551
183989;4045;4045;0;539449;1003376
183992;888;0;0;40027;74451
183995;540;0;0;2100;250190
184086;540;0;8100;8700;526400
184195;583;0;6300;48600;66789
184205;540;0;5339;3600;78575
184271;4644;0;528;231520;430627
184273;2927;470;329;141167;262571
184274;2534;2534;332;188419;350460
184275;4003;0;326;404764;752862
184278;3528;0;328;202128;375959
184279;4047;0;331;422012;784942
184280;1810;1810;318;219046;407427
184281;2476;0;328;120730;224559
184282;2905;0;332;136579;254037
184283;3704;0;330;278274;517590
184284;2596;2596;327;225144;418768
184285;3485;0;335;184349;341982
184286;1598;1598;327;335305;623669
184287;1531;0;323;79527;147920
184288;3598;0;327;232094;431696
184289;2627;0;327;297790;553890
184290;2684;0;327;62712;116645
184293;3617;0;691;312521;581290
184294;1741;1741;311;169312;314920
184295;2606;2606;308;229257;426419
184296;2523;1021;329;126771;235794
184297;2944;0;320;144035;267905
184298;2052;2052;319;164518;306003
184301;2672;0;321;325757;605908
184302;1156;430;321;91434;170068
184303;1510;1510;322;240698;447698
184304;5054;0;322;299323;556741
184305;4337;4337;322;293466;545848
184306;3624;0;322;243587;453072
184309;5113;0;324;313363;582856
184310;2027;1859;322;273128;508019
184311;2252;0;322;88651;164891
184312;3854;0;947;340890;634056
184319;5024;0;1191;361074;671599
184384;5144;0;0;484703;901549
184385;5106;1118;5194;769213;1430737
184386;4858;0;1090;303630;564753
184387;4533;1716;1101;99322;184739
184388;3789;1783;1103;168887;314129
184389;4895;2678;1102;314446;584869
184390;4756;0;1081;268764;499902
184392;4612;1055;0;221001;411062
184393;3661;3661;775;85498;168094
184396;4812;0;2432;130820;243325
184411;3715;3715;551;387892;667516
184412;4917;4917;3403;1532967;2851320
184431;540;0;0;20900;146062
184450;636;0;418;28547;53098
184473;540;0;0;4400;211600
184474;864;0;313;30800;294700
184490;540;0;0;1400;96680
184495;540;0;0;1300;62729
184499;540;0;402;2000;137135
184576;515;0;0;2600;181445
184591;864;0;0;24100;85939
184646;3250;3250;1231;596563;1109607
184647;2783;2783;438;237623;441979
184648;540;0;0;2800;180960
184673;3576;0;1250;223717;416114
184674;3667;0;1257;261943;487214
184675;2950;2950;1046;433261;736290
184676;2725;2725;1889;296451;551399
184677;4031;0;2050;415790;773371
184678;2635;0;638;49206;91523
184679;3786;0;1349;316650;588969
184680;3613;1632;1250;237566;441873
184681;2046;1876;968;288650;536890
184682;3800;0;2132;319213;593736
184683;3415;0;848;154388;287161
184684;3064;3064;0;112569;209379
184685;2622;2622;1237;237709;442140
184688;3748;0;1030;295527;549681
184705;18848;18848;38895;759275;1412251
184709;5131;0;0;396040;736635
184710;7954;0;6903;1355486;2521204
184714;5344;0;769;468701;871784
184776;540;0;23834;5200;82256
184778;540;0;0;5200;677046
184781;6626;6626;10113;2525262;4696988
184788;4858;0;1310;302164;562025
184793;5377;0;1149;478772;890517
184794;3034;1633;0;134858;250836
184795;4997;0;1280;349845;650713
184796;6134;0;1134;85986;159935
184797;6122;0;1143;86661;161189
184798;6134;843;1141;86494;755636
184799;6156;0;1158;88329;164292
184806;2751;0;0;929;1729
184810;3565;0;0;218097;405661
184811;2130;0;509;110632;205775
184813;2876;1292;0;200081;372152
184818;5366;2918;968;475336;884126
184821;2478;2478;375;156519;291125
184822;2573;2573;383;210192;390957
184828;2105;2105;600;210004;390607
184829;4714;2588;480;254050;472534
184830;4671;1921;480;240604;447524
184831;2659;1112;480;298945;556039
184832;3394;1705;720;290325;608064
184833;3346;321;485;193367;609807
184834;3539;1296;480;206501;403170
184835;3517;0;480;198968;370082
184836;3479;0;595;253998;472436
184837;3951;0;600;382522;711491
184839;2503;0;407;124901;232317
184840;3854;3854;607;340122;632627
184841;2589;2589;375;220745;410587
184842;3291;0;450;164212;305435
184843;4411;0;495;223638;415967
184844;4638;2546;712;228674;425334
184845;2796;2796;489;247227;459842
184846;2791;2791;550;253290;471120
184849;3897;0;346;186910;347652
184850;4376;0;492;211551;393484
184851;3433;0;330;166605;309887
184852;3447;0;355;169679;315604
184855;3469;0;725;176159;327657
184856;2637;2637;397;248601;462398
184857;3493;0;896;259212;482134
184859;3539;1135;448;207889;386675
184862;2252;0;465;88753;165081
184863;4444;0;442;161040;299534
184864;6920;657;379;212949;396085
184865;5152;0;639;404473;752320
184866;2965;0;515;127451;237059
184867;3841;0;379;177815;330737
184868;4703;0;345;251233;467294
184869;3622;3622;588;345910;643393
184870;3694;3694;551;380699;708101
184871;3324;3324;478;209440;389559
184872;2417;0;302;111898;208130
184873;3469;0;561;177774;330659
184874;515;0;3855;23400;376650
184875;4036;0;471;113022;210222
184876;3554;0;720;212833;395871
184877;2784;2784;471;330729;615156
184878;3730;532;480;363211;675573
184883;3528;0;375;202352;376375
184884;620;0;384;52442;97543
184885;2342;0;625;101458;188713
184887;2894;0;756;133823;248912
184888;2521;2521;480;183425;341171
184889;1924;1924;600;49788;92607
184892;3447;0;0;169733;315704
184894;1686;0;338;45227;84123
184895;1741;0;364;48258;89760
184896;1741;0;364;48258;89760
184897;1686;0;338;45227;84123
184898;1664;0;329;44025;81887
184899;2787;0;600;70408;130959
184900;2197;174;600;271761;505476
184901;791;791;359;121972;226868
184902;863;863;553;140787;261864
184903;2629;993;474;244668;455084
184904;3506;0;401;194032;360901
184905;2338;0;319;102760;191134
184906;3528;0;595;203690;378863
184908;3341;0;0;191450;356098
184909;3421;0;0;155689;289582
184912;3700;0;410;275757;512909
184913;6054;0;622;526462;979220
184914;2514;2514;524;177406;329976
184917;2107;1932;482;337887;628470
184918;3554;0;461;213019;396217
184919;3619;1987;488;242496;451043
184920;3528;0;316;201458;374712
