nombre;texto
0001;articulo primero ampliase el presupuesto municipal de acuerdo al siguiente detalle recursos a 250000 aporte no reintegrable a 250000 gasto a 250000 personal a 15707216 bienes y servicios a 1292784 bienes de capital a 8000 articulo segundo comuniquese copiese y archivese
0010;articulo primero solicitase reabrir al pueblo la casa de la cultura ricardo rojas incrementando nuevas obras de arte y permitiendo la expresion artistica de nobeles participantes articulo segundo pase a las autoridades pertinentes de nuestro municipio para que le den el giro que corresponde a la direccion de cultura de modo que la intencion enunciada pueda llevarse a cabo con la mayor rapidez y seguridad articulo tercero comuniquese copiese y archivese
0002;articuloprimero la secretaria de obras y servicios publicos de la municipalidad de yerba buena debera estudiar de inmediato solicitando la colaboracion de dipos la construccion de una red cloacal en dicha municipalidad articulosegundo una vez confeccionada la correspondiente carpeta tecnica sera elevada de inmediato a los señores diputados provinciales dr alejandro carlos sangenis y sr arturo sassi a los efectos que como proyecto sea incluido de ser factible en las sesiones extraordinarias de la honorable camara de diputados de la provincia en el presente periodo articulotercero la municipalidad de yerba buena colaborara en dicha tarea con la mano de obra necesaria siendo la direccion tecnica de esta a cargo de dipos articulocuarto comuniquese copiese y archivese
0005;articulo primero prohibese en el departamento de yerba buena la exhibicion publica en kioscos y demas lugares de venta yo canje de todo tipo de publicacion del tipo calificado prohibido para menores pudiendo exhibirse unicamente los titulos de los mismos articulo segundo secretaria de gobierno de la municipalidad de yerba buena adoptara las medidas necesarias para dar cumplimiento a lo dispuesto en la presente ordenanza segun lo estipulado en el art n 1 articulo tercero comuniquese copiese y archivese
0003;articuloprimero autorizase al departamento ejecutivo a designar una comision honoraria integrada por directores y vicedirectores de escuelas primarias publicas y privadas del municipio por profesionales vecinos de la zona quienes trabajaran adhonorem en forma de colaboracion como asi tambien por asistentes sociales la comision de educacion beneficencia y cultura de este honorable concejo deliberante y por personalidades del medio de reconocida competencia en materia educativa encargada de aconsejar sobre las medidas que deban adoptarse por el municipio para poner al alcance de todo la poblacion de manera efectiva el acceso a la escuela publica articulosegundo la comision honoraria prevista en el art 1 tendra como cometido establecer los porcentajes de desercion escolar en las escuelas publicas del municipio informar sobre las causas que inciden en dicha situacion determinar el grado de ayuda que las familias de los alumnos de las escuelas publicas reciben de parte del estado nacional y provincial y entidades de bien publico de resultar necesario la contribucion que a tal efecto deba realizar el municipio en concurrencia con los entes publicos y privados mencionados precedentemente dictaminar sobre el numero de guarderias infantiles y de caracter gratuito aconsejable establecer en el municipio a fin de cubrir las necesidades de la mujer que trabaja articulotercero la comision mencionada en los articulos anteriores debera expedirse con tiempo suficiente como para que el municipio pueda prever antes del comienzo del año lectivo sobre los creditos presupuestarios que demandara arbitrar los medios necesarios para eliminar la desercion escolar proveyendo al efectivo caracter gratuito de la enseñanza articulocuarto los gastos que demanda el cumplimiento de esta ordenanza seran atendidos de rentas generales del municipio con imputacion a la presente o con la partida que corresponde al mismo articuloquinto comuniquese copiese y archivese
0017;articuloprimero facultese el departamento ejecutivo municipal disponer se efectuen los pagos correspondientes por concepto de diferencia sobre asignaciones familiares a quienes corresponda percibir dichos emolumentos articulosegundo esta facultad queda supeditada conforme a los recursos economicos que disponga el departamento ejecutivo municipal articulotercero comuniquese copiese y archivese
0011;articuloprimero los dias de vacacion anual ordinaria del personal dependiente de la municipalidad concejo deliberante y comunas de san javier y cevil redondo seran computados como dias habiles articulosegundo comuniquese copiese y archivese
0024;articuloprimero facultese al departamento ejecutivo a gestionar ante gas del estado la realizacion del estudio para la red de distribucion de gas natural en las zonas del municipio no comprendidas en el plano mencionado articulosegundo comuniquese copiese y archivese
0026;articuloprimero autorizase al departamento ejecutivo para afectar al servicio del concejo nacional de educacion tecnica conet los inmuebles fiscales ubicados en calle paraguay y salta del loteo santa tomasa c manzana e lotes 8 9 10 11 con numero de padron 480 301 302 480 303 480 304 respectivamente articulosegundo el departamento ejecutivo municipal gestionara ante la secretaria de educacion de la provincia y el concejo nac de educacion tecnica conet la instalacion de un subcentro de capacitacion profesional en la ciudad de yerba buena articulotercero comuniquese copiese archivese
0021;articuloprimero crease la biblioteca municipal de yerba buena dependiente del departamento ejecutivo municipal articulosegundo dicha biblioteca funcionara en los predios del concejo deliberante de yerba buena articulotercero designase a la sra maria sofia chavanne de sosa l c n 4 998 688 como bibliotecaria adhonorem articulocuarto esta biblioteca tendra caracter publico y gratuito articuloquinto los gastos que demande el cumplimiento de la presente ordenanza se atenderan con rentas generales articulosexto comuniquese copiese y archivese
