ordenanza;registrado
1;Si
2;Si
3;Si
4;Si
5;Si
6;Si
7;Si
8;Si
9;Si
10;Si
11;Si
12;Si
13;Si
14;Si
15;Si
16;Si
17;Si
19;Si
21;Si
22;Si
23;Si
24;Si
25;Si
26;Si
27;Si
28;Si
29;Si
30;Si
31;Si
32;Si
33;Si
34;Si
35;Si
36;Si
37;Si
38;Si
39;Si
40;Si
41;Si
43;Si
44;Si
45;Si
46;Si
48;Si
49;Si
49;No
50;Si
51;Si
52;Si
53;Si
54;Si
56;Si
57;Si
58;Si
59;Si
60;Si
62;Si
63;Si
65;Si
66;Si
67;Si
68;Si
69;Si
70;Si
71;Si
72;Si
73;Si
74;Si
75;Si
76;Si
77;Si
78;Si
79;Si
82;Si
83;Si
84;Si
85;Si
86;Si
87;Si
88;Si
89;Si
90;Si
91;Si
92;Si
93;Si
95;Si
96;Si
97;Si
99;Si
100;Si
101;Si
102;Si
103;Si
104;Si
105;Si
106;Si
107;Si
108;Si
109;Si
110;Si
111;Si
112;Si
113;Si
114;Si
115;Si
116;Si
117;Si
118;Si
119;Si
121;Si
122;Si
123;Si
124;Si
125;Si
126;Si
128;Si
129;Si
130;Si
131;Si
132;Si
133;Si
135;Si
136;Si
137;Si
138;Si
139;Si
140;Si
141;Si
143;Si
145;Si
146;Si
147;Si
148;Si
149;Si
150;Si
151;Si
152;Si
153;Si
154;Si
156;Si
157;Si
158;Si
159;Si
160;Si
161;Si
162;Si
163;Si
164;Si
165;Si
166;Si
167;Si
168;Si
169;Si
170;Si
171;Si
172;Si
173;Si
174;Si
175;Si
176;Si
177;Si
178;Si
179;Si
180;Si
181;Si
182;Si
183;Si
184;Si
186;Si
187;Si
188;Si
189;Si
190;Si
191;Si
192;Si
193;Si
194;Si
195;Si
196;Si
197;Si
198;Si
199;Si
200;Si
201;Si
202;Si
203;Si
204;Si
205;Si
206;Si
207;Si
208;Si
209;Si
210;Si
211;Si
212;Si
213;Si
214;Si
215;Si
216;Si
217;Si
218;Si
219;Si
220;Si
221;Si
222;Si
223;Si
224;Si
225;Si
226;Si
227;Si
228;Si
229;Si
230;Si
231;Si
232;Si
233;Si
234;Si
235;Si
236;Si
237;Si
238;Si
239;Si
240;Si
241;Si
242;Si
243;Si
244;Si
246;Si
247;Si
248;Si
249;Si
250;Si
251;Si
252;Si
253;Si
