padron,bajado,terreno,mejoras,ph,total,valuacion
775856,true,144160.9,0.0,0.0,144160.9,77505.86
775884,true,28220.57,13136.0,0.0,41356.57,22234.71
775885,true,38629.66,4431.37,0.0,43061.03,23151.08
775886,true,20933.21,13429.66,0.0,34362.87,18474.64
775887,true,20933.21,44894.63,0.0,65827.84,35391.3
775888,true,20932.75,0.0,0.0,20932.75,11254.17
775889,true,20932.75,0.0,0.0,20932.75,11254.17
775890,true,22627.22,0.0,0.0,22627.22,12165.16
775891,true,26999.42,69445.98,0.0,96445.4,51852.37
775892,true,20931.32,11847.41,0.0,32778.72,17622.95
775894,true,20931.32,0.0,0.0,20931.32,11253.38
775895,true,20931.32,0.0,0.0,20931.32,11253.38
775896,true,20931.32,0.0,0.0,20931.32,11253.38
775897,true,25140.83,520774.67,0.0,545915.49,11253.38
775898,true,27931.61,0.0,0.0,27931.61,11253.16
775899,true,22626.37,0.0,0.0,22626.37,12164.7
775901,true,20932.75,78499.16,0.0,99431.91,53458.01
775902,true,20932.75,0.0,0.0,20932.75,11254.17
775903,true,20932.75,59794.35,0.0,80727.1,43401.66
775904,true,3642.45,25132.29,0.0,28774.74,15470.28
775905,true,20932.75,0.0,0.0,20932.75,11254.17
775906,true,25143.01,200597.73,0.0,225740.74,29164.26
775907,true,20933.21,44798.35,0.0,65731.56,35339.53
775908,true,20932.75,140466.96,0.0,161399.72,86774.03
775909,true,20932.75,152447.04,0.0,173379.79,93214.95
775910,true,20932.75,136435.38,0.0,157368.13,84606.52
775944,true,23535.46,0.0,0.0,23535.46,12653.46
775945,true,41396.69,44992.56,0.0,86389.25,46445.82
775946,true,47299.68,237175.88,0.0,284475.55,152943.85
775947,true,27934.06,0.0,0.0,27934.06,15018.31
