padron;valuacion;boleta
4679294;117327.617;9396000
4679295;109802.69819;9396001
4679296;95471.4;9396002
4679297;90080.07;9396003
4679298;87259.7;9396004
4679299;90414.86;9396005
4679300;102080.93;9396006
4679301;90054.98;9396007
4679302;84314.98;9396008
4679303;95332.69;9396009
4679305;579891.22;9396011
4679306;904770.9653;9396012
6000019;2557497.99;9396013
382450;176408.55;9396014
283072;61852.76;9396015
4677882;207883.71;9396017
380322;18975.607923;9396018
4677858;101602.198;9396020
4679412;14979.46;9396021
4676735;403560.17;9396022
679162;78806.28;9396023
4775856;376594.65;9396024
4776128;121258.92;9396025
4776127;121258.92;9396026
4776126;123891.97781;9396027
582373;414504.57;9396028
582374;110194.9;9396029
4679528;139544.32;9396031
4775857;80028.68;9396032
4776102;119174.43;9396034
4676524;78132.94;9396035
875347;304253.56;9396036
4679864;391791.07;9396037
4677824;107489.76;9396038
4677726;35983.65;9396039
776042;11254.17;9396040
879529;161966.34;9396041
879530;160225.71;9396042
879531;161532.66;9396043
4775428;99515.85;9396044
4679263;86129.79;9396045
580925;114802.16;9396046
381486;65580.41;9396047
876008;35618.28;9396048
4776129;121258.92;9396049
4678931;112156.51;9396050
534705;17406.52;9396051
877935;282920.11;9396052
4677898;107900.572201;9396054
878227;456582.31;9396055
4679866;107734.97;9396056
879904;124123.01;9396057
581870;25393.32;9396058
4679168;877330.22;9396059
4677101;88010.5;9396060
4678296;216307.51;9395000
4678297;70653.14;9395001
4678298;209487.64;9395002
4678299;285207.137;9395003
4678301;60797.57;9395006
4677993;45369.41;9395009
876595;177736.4;9395011
4678001;36929.85808;9395012
4678002;36929.85;9395013
4678004;9700.0;9395014
4678003;9700.0;9395015
4678005;36929.85;9395016
4678006;9700.0;9395017
4678007;8800.0;9395018
4678008;44064.14;9395019
4678009;42699.82;9395020
4678010;43032.41;9395021
4678011;42523.71;9395022
776185;92717.463;9395025
4677878;51361.28;9395030
4677879;51301.55;9395031
4677708;73445.6;9395032
4677709;846536.687;9395033
4677005;135622.075;9395034
4677023;1396053.02;9395035
4677015;18330.76;9395037
383029;201261.37;9395038
4676987;206684.63;9395039
676125;403812.82;9395040
4678601;113706.86;9395041
676663;279433.92;9395042
632221;23899.02;9395043
383658;272878.44;9395044
879900;742396.66;9395045
4775594;212610.97;9395046
4675877;71143.79;9395047
484081;365801.58;9395048
677777;115800.4;9395050
582027;257787.38;9395051
4775372;282672.26;9395052
4675914;15106.25;9395053
876610;786120.36;9395054
4675472;539880.24;9395055
4679393;34399.44;9395056
4679894;359538.0;9395057
4679927;21092.4;9395058
4679929;25820.75;9395059
4679928;21345.79;9395060
4679930;21706.24;9395061
4679931;22024.5;9395062
4679932;22614.93;9395063
4679934;22614.93;9395065
4679935;22614.93;9395066
4679936;22221.75;9395067
4679918;159182.26;9395068
4679919;137829.9;9395069
4775001;39857.33;9395070
4775094;118348.912;9395071
4775476;118072.16;9395072
581317;183980.94;9395073
4775002;40469.75;9395074
4679937;32265.99;9395075
4679938;32428.35;9395076
4679939;32568.33;9395077
4679940;32150.46;9395078
4775011;116630.5;9395079
4775012;167169.95;9395080
4775013;124959.01;9395081
4679961;4726789.37;9395082
4679917;376543.5;9395083
777112;65131.11;9395084
4679968;227837.33;9395085
83392;143421.36;9395086
4679888;263945.51;9395087
4679890;16216.89;9395088
4679921;176683.75;9395089
4679922;178262.88;9395090
677009;27280.09;9395091
382911;283057.54;9395092
4775595;212614.35;9395093
4775596;212683.22;9395094
4775597;212815.54;9395095
4775598;212603.58;9395096
4775599;212603.58;9395097
4775600;212603.58;9395098
4678018;42081.89;9395099
4775601;212613.9;9395100
4775602;212606.17;9395101
4677996;45369.41;9395102
4775603;214865.73;9395103
4775604;213195.44;9395104
4775605;212619.77;9395105
4775606;212842.22;9395106
483562;203960.21;9395107
4678020;42081.89;9395108
4775607;212843.18;9395109
4775608;212780.72;9395110
4775609;212618.9;9395111
4775610;212841.26;9395112
4775611;212841.26;9395113
4775612;212728.75;9395114
876441;295454.52;9395115
4775613;213383.0;9395116
4775614;213057.19;9395117
4775615;212639.78;9395118
4775617;212603.58;9395119
4775618;212603.58;9395120
4775619;212603.58;9395121
4775620;212641.6;9395122
4775621;226885.85;9395123
4775622;228372.19;9395124
535966;51096.01;9395125
4775624;218274.26;9395126
4775625;218195.81;9395127
4679292;89437.93;9395128
876615;425958.56;9395129
4775626;217769.57;9395130
4775627;217702.94;9395131
4775628;216725.52;9395132
4775629;217692.6;9395133
4775630;216698.03;9395134
4775631;216609.18;9395135
4775632;216731.97;9395136
4775633;215642.96;9395137
4775634;216235.53;9395138
4775635;215944.09;9395139
4775636;223823.74;9395140
4775637;218625.17;9395141
4775638;217916.62;9395142
4775640;213085.26;9395143
4775641;212871.84;9395144
4775642;213508.91;9395145
4775643;212635.46;9395146
4679232;85064.63;9395147
4675866;74724.97;9395148
4775644;212978.66;9395149
4775645;213646.58;9395150
4775646;214776.44;9395151
4775647;212871.84;9395152
4775648;213754.98;9395153
4775649;213053.98;9395154
4775650;212706.22;9395155
4775651;212684.58;9395156
4775652;212729.07;9395157
4775653;213940.99;9395158
4775654;218184.27;9395159
